ID_TAXON;GATTUNG;UNTERGATTUNG;ART;TAXONNAME;BESCHREIBER;JAHRESZAHL;UNTERFAMILIE;FAMILIE;GG_GROSSGRUPPE;GG_BEZEICHNUNG;GG_REIHENFOLGE;ID_VERSION;VER_BEZEICHNUNG;SYNONYM_LISTE;TROPHIE_INDEX;TROPHIE_WEIGHT;SAPROBIE_INDEX;SAPROBIE_WEIGHT;REFERENZART_TYP;REFERENZART_TYPB_AM1;REFERENZART_TYPB_AM2;REFERENZART_TYPB_AV1;REFERENZART_TYPB_AV2;REFERENZART_TYPB_BR1;REFERENZART_TYPB_BR2;REFERENZART_TYPB_BR3;REFERENZART_TYPB_FH1;REFERENZART_TYPB_FH2;REFERENZART_TYPB_FL1;REFERENZART_TYPB_FL2;REFERENZART_TYPB_FL3;REFERENZART_TYPB_GF1;REFERENZART_TYPB_GG1;REFERENZART_TYPB_GG2;REFERENZART_TYPB_GG3;REFERENZART_TYPB_HV1;REFERENZART_TYPB_HV2;REFERENZART_TYPB_HV3;REFERENZART_TYPB_IB1;REFERENZART_TYPB_IB2;REFERENZART_TYPB_KH2;REFERENZART_TYPB_KH3;REFERENZART_TYPB_KV1;REFERENZART_TYPB_KV2;REFERENZART_TYPB_KV3;REFERENZART_TYPB_SA1;REFERENZART_TYPB_SA2;REFERENZART_TYPB_SA3;REFERENZART_TYPB_UZA1;REFERENZART_TYPB_UZA2;REFERENZART_TYPB_UZA3;REFERENZART_TYPB_VAV1;REFERENZART_TYPB_VAV2;REFERENZART_TYPB_VZA2;REFERENZART_TYPB_VZA3
1545;Achnanthes;;semiaperta;Achnanthes semiaperta;HUSTEDT;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1070;Achnanthes;;sp.;Achnanthes sp.;;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1546;Achnanthes;;subexigua;Achnanthes subexigua;HUSTEDT;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
267;Achnanthes;;subsalsa;Achnanthes subsalsa;PETERSEN;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;Achnanthes subsalsoides, Achnanthes subsalsoides var. sterwennensis;0;0;0;0;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
269;Achnanthes;;thermalis;Achnanthes thermalis;(RABENHORST) SCHOENFELDT;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;Achnanhes grimmei, Achnanthes gibberula, Achnanthes gibberula var. angustior, Achnanthes grimmei var. elliptica, Achnanthes grimmei var. hyalina, Achnanthes grimmei var. inflata;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
270;Achnanthes;;trinodis;Achnanthes trinodis;(W.SMITH) GRUNOW;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;Navicula trinodis;0,6;4;1;5;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1547;Achnanthes;;tristis;Achnanthes tristis;KRASSKE;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1548;Achnanthidium;;affine;Achnanthidium affine;(GRUNOW) CZARNECKI;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;Achnanthes minutissima var. affinis;0;0;1,3;5;B;1;1;1;1;;;;1;1;1;;;1;1;1;;;;;;;;;1;1;1;;;;;;;1;1;;
1454;Achnanthidium;;atomoides;Achnanthidium atomoides;MONNIER, LANGE-BERTALOT & ECTOR;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;;1,8;2;1,4;4;B;1;1;1;1;1;1;;1;1;1;;;1;1;1;;;;;;;;;1;1;1;;;;;;;1;1;;
1549;Achnanthidium;;atomus;Achnanthidium atomus;(HUSTEDT) MONNIER, LANGE-BERTALOT & ECTOR;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1550;Achnanthidium;;caledonicum;Achnanthidium caledonicum;(LANGE-BERTALOT) LANGE-BERTALOT;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;Achnanthes minutissima var. scotica;0,5;5;1;5;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1551;Achnanthidium;;catenatum;Achnanthidium catenatum;(BILY & MARVAN) LANGE-BERTALOT;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;Achnanthes catenata;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
