taxa
Achnanthes lanceolata ssp. frequentissima var. rostratiformis
Achnanthes lanceolata ssp. frequentissima var. magna
Achnanthes lanceolata ssp. frequentissima
Achnanthes lanceolata ssp. frequentissima terato
Amphora libyca
Achnanthes lineariformis
Achnanthes linearis
Achnanthes linearioides
Achnanthes linearis var. pusilla
Aulacoseira lirata

Achnanthes linearis var. jackii
Achnanthes lineariformis
Achnanthes lemmermannii var. obtusa
Achnanthes lapidosa var. appalachiana
Achnanthes lanceolata ssp. apiculata

Achnanthes lanceolata ssp. robusta var. abbreviata
Achnanthes lanceolata var. robusta
Achnanthes lanceolata ssp. robusta
Achnanthes lanceolata var. rostrata
Aulacoseira lirata
Aulacoseira lacustris f. tenuior
Achnanthes lanceolata terato
Achnanthes lutheri
Achnanthes laevis var. austriaca

Achnanthes laevis
Achnanthes minutissima var. affinis
Achnanthes marginulata
Achnanthes maxima

Achnanthes minutissima var. cryptocephala f. gracillima
Achnanthes minutissima var. cryptocephala
Achnanthes microcephala f. scotica
Amphora meridionalis

Amphora ehrenbergii
Amphora fogediana
Amphora gigas
Amphora globulosa
Achnanthes marginulata var. major
Amphora globulosa var. perpusilla
Achnanthes minutissima var. gracillima
Amphora gracilis
Achnanthes microcephala
Amphora indistincta
Achnanthes minutissima var. inconspicua
Achnanthes minutissima
Achnanthes minutissima var. inconspicua
Achnanthes minuscula
Achnanthes minutissima terato
Achnanthes minutissima var. jackii
Achnanthes minutissima var. macrocephala
Achnanthes microcephala f. magna
Amphora montana
Adlafia minuscula var. muralis terato
Adlafia minuscula terato
Achnanthes montana
Amphora ostrearia
Amphora perpusilla

Achnanthes minutissima var. robusta
Achnanthes minutissima var. saprophila
Achnanthes minutissima var. scotica
Amphora strigosa
Adlafia muscora
Aulacoseira muzzanensis
Amphora vitrea
Anomoeoneis brachysira


Anomoeoneis exilis var. thermalis
Anomoeoneis exilis
Amphora neglectiformis
Aulacoseira nivalis
Actinocyclus normanii
Amphora normanii
Anomoeoneis sculpta
Actinocyclus normanii m subsalsus
Aneumastus tusculus
Achnanthes oblongella
Achnanthes occulta
Amphora ocellata


Amphora ovalis var. gracilis
Amphora oligotraphenta
Amphora ovalis var. libyca
Amphora ovalis var. pediculus
Achnanthes orientalis
Achnanthes oestrupii
Achnanthes oblongella terato
Amphora ovalis

Amphora ovalis terato
Amphora pediculus terato
Amphiprora paludosa
Achnanthes parvula
Achnanthes pusilla var. crassa
Achnantheiopsis dubia
Amphora pediculus
Achnantheiopsis peragalli
Amphipleura pellucida
Achnanthes peragalli
Achnanthes petersenii
Achnanthidium pfisteri
Achnantheiopsis frequentissima var. magna
Achnantheiopsis frequentissima
Achnanthes ploenensis var. gessneri
Achnanthes pseudohungarica
Amphora paulii
Achnanthes pinnata
Achnanthes plitvicensis
Achnanthes plana
Achnanthes ploenensis


Achnanthes pusilla var. petersenii
Achnanthes pusilla var. procera
Achnanthes pseudopunctulata
Achnanthes praecipua
Achnanthes procera
Achnanthes parallela
Amphiprora paludosa var. subsalina
Achnanthes pseudotanensis
Achnantheiopsis pseudotanensis
Achnanthes ploenensis terato
Achnanthes pusilla
Achnanthes pyrenaica
Achnanthes rechtensis
Achnanthes rhynchocephala
Achnanthes rostrata var. magna
Achnanthes rosenstockii
Achnanthes rostrata
Achnanthes rupestoides
Achnanthidium rostropyrenaicum
Achnanthes rosenstockii var. sinepuncta
Achnanthes rossii
Achnantheiopsis rostrata
Achnanthes rupestoides terato
Amphipleura rutilans
Amphora salina
Anomoeoneis sphaerophora var. angusta
Achnanthes subatomoides
Achnanthes saxonica
Anomoeoneis serians var. brachysira
Anomoeoneis serians var. brachysira f. thermalis
Achnanthidium minutissimum var. scoticum
Achnanthes saccula
Achnanthes sublaevis var. crassa
Achnanthes scotica
Anomoeoneis sculpta
Actinoptychus senarius
Anomoeoneis serians
Anomoeoneis sphaerophora var. guntherii
Achnanthes subhudsonis
Achnanthes subhudsonis var. kraeuselii
Anomoeoneis sphaerophora
Achnanthes sublaevis
Amphora submontana
Anomoeoneis sphaerophora var. navicularis
Achnanthes sonyda
Achnanthes subrostrata var. appalachiana
Anomoeoneis sphaerophora
Anomoeoneis sphaerophora f. sculpta
Anomoeoneis sphaerophora f. rostrata
Anomoeoneis sphaerophora var. sculpta
Achnanthes straubiana
Amphora subturgida
Achnanthes scotica
Achnanthes subatomus
Achnanthes strenzkei
Achnanthes suchlandtii
Achnanthes suchlandtii var. robusta
Achnanthes sutura
Achnanthes taiaensis
Achnanthes triconfusa
Amphora twenteana
Aulacoseira ambigua f. japonica
Aulacoseira alpigena
Aulacoseira crenulata
Aulacoseira distans var. alpigenaen
Aulacoseira distans
Aulacoseira distans var. nivalis
Aulacoseira granulata var. angustissima
Aulacoseira granulata

Aulacoseira italica f. curvata
Aulacoseira islandica
Aulacoseira italica
Aulacoseira italica var. validaen
Achnanthes umara

Aulacoseira pseudodistans
Aulacoseira pfaffiana
Aulacoseira pusilla
AURICULA
Auricula sp.
Aulacoseira subborealis
Aulacoseira subarctica f. subborealis
Aulacoseira subarctica
Aulacoseira tenuior
Aulacoseira valida

Anomoeoneis variabilis
Amphora veneta var. subcapitata
Achnanthes ventralis var. crassa
Amphora veneta
Amphora veneta terato
Anomoeoneis vitrea
Achnanthes ventralis
Amphora vetula
Achnanthes wickenensis
Anomoeoneis sculpta var. temperei
Bacillaria amphibia
Bacillaria sinuata
Bacillaria subtilis
Belonastrum berolinensis

Brachysira brebissonii
Brachysira brebissonii f. thermalis

Brachysira exilis
Brachysira intermedia
Biddulphia laevis
Brachysira liliana
Brachysira microcephala
Brachysira neglectissima
Brachysira neoexilis
Brachysira neoexilis terato
Bacillaria paradoxa
Bacillaria paxillifera var. paxillifer terato
Bacillaria paxillifera

Brachysira procera
Bacillaria paxillifer
Berkeleya rutilans
Brachysira serians


Bacillaria vermicularis

Brachysira vitrea
Caloneis alpestris var. grunowii
Ceratoneis arcus var. amphioxys

Cymbella aequalis
Cymbella excisa
Caloneis fasciata
Cymbella affinis
Cymbella affiniformis

Cyclotella atomus var. gracilis
Ceratoneis arcus var. hattoriana
Cymbella amphicephala var. intermedia
Craticula ambigua
Caloneis amphisbaena


Cymbella amphicephala
Caloneis alpestris
Cymbella aequalis var. grevillei
Cymbella aequalis var. pisciculus
Ceratoneis arcus
Ceratoneis arcus var. linearis
Cymbella aspera
Caloneis tenuis
Cymbella affinis terato
Cyclotella atomus
Ceratoneis arcus var. vaucheriae

Caloneis ventricosa
Caloneis bacillum

Cymbopleura amphicephala
Cymbopleura apiculata
Caloneis bacillum terato
Cyclotella balatonis var. binotata
Cymbopleura cuspidata
Cymatosira belgica
Caloneis bacillum var. fasciata
Caloneis bacillum f. fonticola
Cymbopleura hustedtii
Cymbella bipartita

Cymbopleura kuelbsii
Caloneis bacillum var. lancettula
Cymbopleura naviculiformis

Cyclotella bodanica
Cymbella bipartita var. densestriata

Cymbella cistula var. asiatica
Cymbella caespitosa
Cyclotella caspia var. affinis
Cyclotella caspia


Cyclotella comta(Ehr.)Kützing f. binotata
Cyclotella cyclopuncta

Cymbella chandolensis
Cymbella cesatii
Cymbella cesatii f. minor
Cymbella cistula var. gibbosa
Cymbella cistula var. hebetata
Cyclotella choctawhatcheeana

Cyclostephanos incognitus
Cymbella cistula
Cymbella cesatii var. linearis

Cyclotella comta
Cymbella cistula f. minor
Cymbella compacta
Cyclotella comensis
Cavinula cocconeiformis
Cyclotella comta var. oligactis
Cyclotella comta
Cyclotella costei
Cyclotella comta var. unipunctata
Cyclotella comta var. quadrijuncta
Cyclotella comta var. radiosa
Cymbella cistula f. recta
Capartogramma crucicula
Cyclotella cryptica
Cyclotella sinensis
Cymbella cistula f. truncata
Cyclostephanos costatilimbus
Cymbella cistula f. typica
Cymbella cistula f. undulata
Craticula cuspidata var. heribaudii
Cymbella cymbiformis var. unipunctata
Cymbella cuspidata
Cymbella cymbiformis
Cyclotella dahurica
Cyclotella dalasiana
Cocconeis disculus var. diminuta
Cymbella delicatula
Cocconeis diminuta
Cocconeis disculus
Cocconeis disculus var. minor
Cymbella dorsenotata
Cyclotella distinguenda
Cyclostephanos dubius
Cyclotella distinguenda-unipunctata




Cymbella ehrenbergii
Cymatopleura elliptica
Cymbella excisa var. procera
Cymbella excisa terato
Cocconeis euglypta


Caloneis fasciata var. fonticola
Caloneis fasciata

Cymbella filarszkyi
Cyclotella gamma
Cymbella gastroides

Cymbella gallica
Cyclotella glomerata
Cymbella gracilis var. minuta

Cymbella gracilis
Cyclotella hakanssoniae
Craticula halophila
Chamaepinnularia bremensis
Cymbella helvetica var. compacta
Cymbella helvetica
Chamaepinnularia evanida
Cymbella heterogibbosa
Chamaepinnularia hassiaca
Campylodiscus hibernicus
Chamaepinnularia muscicola
Chamaepinnularia mediocris
Cymbella helvetica var. major
Chaetoceros muelleri
Chamaepinnularia soehrensis var. hassiaca
Chamaepinnularia soehrensis var. muscicola
Chamaepinnularia soehrensis
Cymbella hustedtii f. stigmata

Cymbella hustedtii
Coscinodiscus hustedtii
Chamaepinnularia ventosa
Cymbella ineaqualis
Cyclostephanos invisitatus
Cymbopleura inaequalis

Cymbella javorkae

Cymbella kolbei
Cyclotella kuetzingiana var. planetophora
Cyclotella kuetzingiana var. radiosa
Cyclotella krammeri

Cymbella kolbei f. stigmata
Cyclotella katiana
Cyclotella kuetzingiana

Cymbella lanceolata
Caloneis lancettula
Cymbella lacroixii
Caloneis ladogensis var. densestriata
Cymbella leptoceros
Cerataulus laevis
Caloneis lagerstedtii
Cymatopleura librile
Caloneis limosa
Caloneis limosa var. lancettula

Cocconeis lineata

Cymbella maculata

Cyclotella meduanae
Cyclotella meduanae
Cyclotella melosiroides
Cyclotella meneghiniana
Cymbella mesiana

Cymbella microcephala
Cymbella minuta
Craticula molestiformis
Craticula minusculoides
Caloneis molaris

Cymbella minuta var. silesiaca
Cyclotella meneghiniana terato

Cymbella naviculiformis
Cymbella neocistula
Cymbella neocistula f. anormale
Cocconeis neodiminuta
Cymbella neogena
Campylodiscus noricus var. hibernicus
Cymbella neolanceolata
Cymbella neoleptoceros
Cymbella neoleptoceros terato


Cocconeis neothumensis

Cymbella obtusiuscula
Cyclotella ocellata


Cocconeis hustedtii
Coscinodiscus oculus-iridis
Cocconeis kerguelensis
Coscinodiscus lacustris
Cyclotella oligactis


Cocconeis pseudolineata

Cocconeis pseudothumensis
Cosmioneis pusilla

Coscinodiscus subtilis var. fluviatilis

Cocconeis thumensis
Cyclotella operculata var. unipunctata
Cocconeis pediculus terato
Cymbella parva
Cymbella prostrata var. auerswaldii
Cocconeis pseudolineata terato
Cocconeis placentula var. euglypta terato
Cocconeis pediculus
Cymbella perpusilla
Cymbella pisciculus
Cocconeis placentula
Cocconeis placentula var. euglypta
Cocconeis placentula var. lineata
Cocconeis placentula var. lineata terato
Cyclotella planctonica
Cyclotella polymorpha
Cocconeis placentula var. pseudolineata
Cyclotella praetermissa
Cymbella prostrata
Cymbella proxima

Cyclotella pseudonana
Cyclotella pseudostelligera
Cocconeis placentula terato


Cyclotella quadrijuncta
Craticula accomoda
Cyclotella radiosa
Craticula citrus
Craticula cuspidata
Cymbella reichardtii
Cymbella rigida

Coscinodiscus rothii var. normanii

Cyclotella rossii

Coscinodiscus rothii var. subsalsum


Cymbella subaequalis
Cymatopleura solea var. apiculata
Cymbopleura subaequalis
Craticula submolesta
Cymbella subcistula
Cyclotella schumanni
Cocconeis scutellum
Cyclostephanos delicatus
Cyclostephanos delicatus
Cyclotella stelligera var. glomerata
Caloneis schumanniana
Caloneis silicula
Cymbella sinuata
Cymbella silesiaca
Chamaepinnularia submuscicola

Craticula subminuscula
Cyclotella socialis
Cymatopleura solea

Cocconeis scutellum var. ornata
Cymatopleura solea terato
Cyclotella stelligera var. pseudostelligera
Cyclotella stelligera var. pseudostelligera f. wolterecki

Cyclotella stelligera var. stelligeroides

Cyclotella stelligera
Cyclotella stelligeroides
Cyclotella striata
Cymbella subalpina

Cymbella turgidula var. bengalensis
Cymbella turgidula var. bengalensis terato
Cyclotella tecta
Cymbella turgidula
Cerataulus thermalis
Cyclostephanos tholiformis
Cyclotella tibetana
Cymbella tumidula

Cyclotella trichonidea var. parva

Ctenophora pulchella
Cymbella triangulum

Cymbella tropica
Cyclotella tuberculata
Cymbella tumida
Cymbella tumida terato
Conticribra weissflogii

Cocconeis utermoehlii
Caloneis vasileyevae
Cymbella ventricosa var. auerswaldii

Cymbella ventricosa
Cymbella ventricosa var. minuta

Caloneis vasilyevae
Cymbella vulgata
