Kigdom	phylum	Class	Order	Family	Genus	Species	Subspecies	TaxID
Eukaryota	Chordata	Unassigned	Testudines	Kinosternidae	Kinosternon	Kinosternon subrubrum	Kinosternon subrubrum steindachneri	1354802
Eukaryota	Chordata	Unassigned	Testudines	Kinosternidae	Kinosternon	Kinosternon oaxacae	Unassigned	1355154
Eukaryota	Chordata	Unassigned	Testudines	Trionychidae	Pelodiscus	Pelodiscus sinensis	Unassigned	13735
Eukaryota	Chordata	Unassigned	Testudines	Platysternidae	Platysternon	Platysternon megacephalum	Platysternon megacephalum peguense	1419816
Eukaryota	Chordata	Unassigned	Testudines	Kinosternidae	Sternotherus	Sternotherus odoratus	Unassigned	142480
Eukaryota	Chordata	Unassigned	Testudines	Kinosternidae	Kinosternon	Kinosternon baurii	Unassigned	142482
Eukaryota	Chordata	Unassigned	Testudines	Kinosternidae	Kinosternon	Kinosternon durangoense	Unassigned	142483
Eukaryota	Chordata	Unassigned	Testudines	Kinosternidae	Kinosternon	Kinosternon flavescens	Unassigned	142484
Eukaryota	Chordata	Unassigned	Testudines	Kinosternidae	Kinosternon	Kinosternon hirtipes	Unassigned	142486
Eukaryota	Chordata	Unassigned	Testudines	Pelomedusidae	Pelomedusa	Pelomedusa olivacea	Unassigned	1488221
Eukaryota	Chordata	Unassigned	Testudines	Pelomedusidae	Pelomedusa	Pelomedusa barbata	Unassigned	1488664
Eukaryota	Chordata	Unassigned	Testudines	Pelomedusidae	Pelomedusa	Pelomedusa galeata	Unassigned	1488665
Eukaryota	Chordata	Unassigned	Testudines	Pelomedusidae	Pelomedusa	Pelomedusa sp. B CK-2014	Unassigned	1488666
Eukaryota	Chordata	Unassigned	Testudines	Pelomedusidae	Pelomedusa	Pelomedusa gehafie	Unassigned	1488667
Eukaryota	Chordata	Unassigned	Testudines	Pelomedusidae	Pelomedusa	Pelomedusa neumanni	Unassigned	1488668
Eukaryota	Chordata	Unassigned	Testudines	Pelomedusidae	Pelomedusa	Pelomedusa schweinfurthi	Unassigned	1488669
Eukaryota	Chordata	Unassigned	Testudines	Pelomedusidae	Pelomedusa	Pelomedusa somalica	Unassigned	1488670
Eukaryota	Chordata	Unassigned	Testudines	Pelomedusidae	Pelomedusa	Pelomedusa kobe	Unassigned	1489075
Eukaryota	Chordata	Unassigned	Testudines	Pelomedusidae	Pelomedusa	Pelomedusa variabilis	Unassigned	1510147
Eukaryota	Chordata	Unassigned	Testudines	Pelomedusidae	Pelomedusa	Pelomedusa sp. A CK-2014	Unassigned	1510148
Eukaryota	Chordata	Unassigned	Testudines	Pelomedusidae	Pelomedusa	Pelomedusa sp. C CK-2014	Unassigned	1532883
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Centrochelys	Centrochelys sulcata	Unassigned	1540822
Eukaryota	Chordata	Unassigned	Testudines	Trionychidae	Amyda	Amyda ornata	Unassigned	1541068
Eukaryota	Chordata	Unassigned	Testudines	Chelidae	Chelodina	Chelodina colliei	Unassigned	1576368
Eukaryota	Chordata	Unassigned	Testudines	Emydidae	Terrapene	Terrapene carolina	Unassigned	158814
Eukaryota	Chordata	Unassigned	Testudines	Emydidae	Deirochelys	Deirochelys reticularia	Unassigned	158819
Eukaryota	Chordata	Unassigned	Testudines	Trionychidae	Dogania	Dogania subplana	Unassigned	159310
Eukaryota	Chordata	Unassigned	Testudines	Trionychidae	Amyda	Amyda cartilaginea	Unassigned	161655
Eukaryota	Chordata	Unassigned	Testudines	Trionychidae	Palea	Palea steindachneri	Unassigned	161718
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Aldabrachelys	Aldabrachelys gigantea	Unassigned	167804
Eukaryota	Chordata	Unassigned	Testudines	Trionychidae	Pelochelys	Pelochelys cantorii	Unassigned	171793
Eukaryota	Chordata	Unassigned	Testudines	Trionychidae	Chitra	Chitra indica	Unassigned	171798
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Chelonoidis	Chelonoidis donfaustoi	Unassigned	1743023
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Aldabrachelys	Aldabrachelys abrupta	Unassigned	174717
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Dipsochelys	Dipsochelys hololissa	Unassigned	174718
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Dipsochelys	Dipsochelys arnoldi	Unassigned	175474
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Cuora	Cuora trifasciata	Unassigned	176192
Eukaryota	Chordata	Unassigned	Testudines	Geoemydidae	Cuora	Cuora pani	Unassigned	176193
